"MTU","AREA","Day ahead total load forecast (MW)","Actual total load (MW)"
"02/01/2024 14:00:00 - 02/01/2024 14:15:00","Germany (DE)","60388.44","59647.34"
"02/01/2024 14:15:00 - 02/01/2024 14:30:00","Germany (DE)","60188.57","59829.64"
"02/01/2024 14:30:00 - 02/01/2024 14:45:00","Germany (DE)","60178.94","59819.16"
"02/01/2024 14:45:00 - 02/01/2024 15:00:00","Germany (DE)","59745.42","59523.84"
"02/01/2024 15:00:00 - 02/01/2024 15:15:00","Germany (DE)","60084.77","59927.05"
"02/01/2024 15:15:00 - 02/01/2024 15:30:00","Germany (DE)","59908.89","60152.64"
"02/01/2024 15:30:00 - 02/01/2024 15:45:00","Germany (DE)","59770.57","60116.98"
"02/01/2024 15:45:00 - 02/01/2024 16:00:00","Germany (DE)","59551.39","60071.02"
"02/01/2024 16:00:00 - 02/01/2024 16:15:00","Germany (DE)","59800.86","60720.84"
"02/01/2024 16:15:00 - 02/01/2024 16:30:00","Germany (DE)","59810.93","61111.02"
"02/01/2024 16:30:00 - 02/01/2024 16:45:00","Germany (DE)","60249.23","61712.37"
"02/01/2024 16:45:00 - 02/01/2024 17:00:00","Germany (DE)","60466.41","62164.08"
"02/01/2024 17:00:00 - 02/01/2024 17:15:00","Germany (DE)","61158.97","62869.46"
"02/01/2024 17:15:00 - 02/01/2024 17:30:00","Germany (DE)","61881.80","63139.48"
"02/01/2024 17:30:00 - 02/01/2024 17:45:00","Germany (DE)","61641.44","63581.65"
"02/01/2024 17:45:00 - 02/01/2024 18:00:00","Germany (DE)","62257.40","63917.43"
"02/01/2024 18:00:00 - 02/01/2024 18:15:00","Germany (DE)","62436.40","63482.27"
"02/01/2024 18:15:00 - 02/01/2024 18:30:00","Germany (DE)","62457.13","62988.95"
"02/01/2024 18:30:00 - 02/01/2024 18:45:00","Germany (DE)","62461.53","63034.21"
"02/01/2024 18:45:00 - 02/01/2024 19:00:00","Germany (DE)","62083.44","62783.38"
"02/01/2024 19:00:00 - 02/01/2024 19:15:00","Germany (DE)","61935.36","62154.36"
"02/01/2024 19:15:00 - 02/01/2024 19:30:00","Germany (DE)","61307.71","61304.49"
"02/01/2024 19:30:00 - 02/01/2024 19:45:00","Germany (DE)","60843.27","60870.12"
"02/01/2024 19:45:00 - 02/01/2024 20:00:00","Germany (DE)","60646.91","60530.93"
"02/01/2024 20:00:00 - 02/01/2024 20:15:00","Germany (DE)","59586.11","59484.43"
"02/01/2024 20:15:00 - 02/01/2024 20:30:00","Germany (DE)","58276.97","58329.18"
"02/01/2024 20:30:00 - 02/01/2024 20:45:00","Germany (DE)","57497.37","57674.87"
"02/01/2024 20:45:00 - 02/01/2024 21:00:00","Germany (DE)","56384.70","56886.47"
